REPLY_ID,REPLY_EXTRACTION_DATE,FROM_ID,ID_COMMENT,ID_POST
929133673819129_929166703815826,2016-10-26 14:25:00,10156814654010481,929133673819129_929160910483072,232821613450342_929133673819129
929133673819129_929167920482371,2016-10-26 14:25:00,10210400634803407,929133673819129_929160910483072,232821613450342_929133673819129
929133673819129_929169320482231,2016-10-26 14:25:00,10156814654010481,929133673819129_929160910483072,232821613450342_929133673819129
929133673819129_929231950475968,2016-10-26 14:25:00,10209509092397478,929133673819129_929160910483072,232821613450342_929133673819129
929133673819129_929235947142235,2016-10-26 14:25:00,10156814654010481,929133673819129_929160910483072,232821613450342_929133673819129
929133673819129_929254950473668,2016-10-26 14:25:00,10209509092397478,929133673819129_929160910483072,232821613450342_929133673819129
929133673819129_929401517125678,2016-10-26 14:25:00,10210400634803407,929133673819129_929160910483072,232821613450342_929133673819129
929133673819129_937442279654935,2016-10-26 14:25:00,10156814654010481,929133673819129_929160910483072,232821613450342_929133673819129
919774108088419_1058108047588357,2016-10-26 14:25:00,232821613450342,919774108088419_1057964034269425,232821613450342_919774108088419
859086737490490_862484737150690,2016-10-26 14:25:00,232821613450342,859086737490490_862144687184695,232821613450342_859086737490490
859086737490490_862646630467834,2016-10-26 14:25:00,10209941774279527,859086737490490_862144687184695,232821613450342_859086737490490
859086737490490_863696087029555,2016-10-26 14:25:00,232821613450342,859086737490490_862144687184695,232821613450342_859086737490490
859086737490490_865619953503835,2016-10-26 14:25:00,232821613450342,859086737490490_865370406862123,232821613450342_859086737490490
859086737490490_866088066790357,2016-10-26 14:25:00,1290543567630988,859086737490490_865370406862123,232821613450342_859086737490490
859086737490490_872083719524125,2016-10-26 14:25:00,232821613450342,859086737490490_865370406862123,232821613450342_859086737490490
1210083062388526_1210398965690269,2016-10-26 14:25:00,227577483972427,1210083062388526_1210376872359145,227577483972427_1210083062388526
1210083062388526_1210552802341552,2016-10-26 14:25:00,10210271555282790,1210083062388526_1210376872359145,227577483972427_1210083062388526
1210083062388526_1210841868979312,2016-10-26 14:25:00,10208718486093076,1210083062388526_1210376872359145,227577483972427_1210083062388526
1210083062388526_1210943455635820,2016-10-26 14:25:00,227577483972427,1210083062388526_1210376872359145,227577483972427_1210083062388526
1210083062388526_1211241002272732,2016-10-26 14:25:00,716164555198608,1210083062388526_1210376872359145,227577483972427_1210083062388526
1210083062388526_1211267085603457,2016-10-26 14:25:00,1127169027319531,1210083062388526_1210376872359145,227577483972427_1210083062388526
1210083062388526_1211728182224014,2016-10-26 14:25:00,227577483972427,1210083062388526_1210376872359145,227577483972427_1210083062388526
1210083062388526_1217048338358665,2016-10-26 14:25:00,1243684782320459,1210083062388526_1210376872359145,227577483972427_1210083062388526
1210083062388526_1210944475635718,2016-10-26 14:25:00,227577483972427,1210083062388526_1210536412343191,227577483972427_1210083062388526
1210083062388526_1217096035020562,2016-10-26 14:25:00,227577483972427,1210083062388526_1217019935028172,227577483972427_1210083062388526
1210083062388526_1211047885625377,2016-10-26 14:25:00,227577483972427,1210083062388526_1210408865689279,227577483972427_1210083062388526
1210083062388526_1211353735594792,2016-10-26 14:25:00,1307131295988001,1210083062388526_1210408865689279,227577483972427_1210083062388526
1210083062388526_1217094775020688,2016-10-26 14:25:00,227577483972427,1210083062388526_1217088955021270,227577483972427_1210083062388526
1210083062388526_1217262725003893,2016-10-26 14:25:00,10210879713378358,1210083062388526_1217088955021270,227577483972427_1210083062388526
1210083062388526_1231306403599525,2016-10-26 14:25:00,227577483972427,1210083062388526_1231030543627111,227577483972427_1210083062388526
1210083062388526_1231329046930594,2016-10-26 14:25:00,1326893970654320,1210083062388526_1231030543627111,227577483972427_1210083062388526
1210083062388526_1210532812343551,2016-10-26 14:25:00,10154285205637758,1210083062388526_1210463672350465,227577483972427_1210083062388526
1210083062388526_1210470935683072,2016-10-26 14:25:00,10209836190448901,1210083062388526_1210463659017133,227577483972427_1210083062388526
1210083062388526_1210482002348632,2016-10-26 14:25:00,10207908935141411,1210083062388526_1210463659017133,227577483972427_1210083062388526
1210083062388526_1235333053196860,2016-10-26 14:25:00,1592723610754108,1210083062388526_1235332749863557,227577483972427_1210083062388526
1210083062388526_1235334169863415,2016-10-26 14:25:00,10209264381259598,1210083062388526_1235332749863557,227577483972427_1210083062388526
1210083062388526_1235334273196738,2016-10-26 14:25:00,1592723610754108,1210083062388526_1235332749863557,227577483972427_1210083062388526
1210083062388526_1235349969861835,2016-10-26 14:25:00,10209264381259598,1210083062388526_1235332749863557,227577483972427_1210083062388526
1210083062388526_1235388686524630,2016-10-26 14:25:00,1592723610754108,1210083062388526_1235332749863557,227577483972427_1210083062388526
1122560844474082_1204324456297720,2016-10-26 14:25:00,227577483972427,1122560844474082_1204202429643256,227577483972427_1122560844474082
1122560844474082_1206663656063800,2016-10-26 14:25:00,673798536109587,1122560844474082_1204202429643256,227577483972427_1122560844474082
1122560844474082_1206762546053911,2016-10-26 14:25:00,227577483972427,1122560844474082_1204202429643256,227577483972427_1122560844474082
1122560844474082_1168845789845587,2016-10-26 14:25:00,227577483972427,1122560844474082_1168827109847455,227577483972427_1122560844474082
1122560844474082_1162935010436665,2016-10-26 14:25:00,227577483972427,1122560844474082_1162597160470450,227577483972427_1122560844474082
1122560844474082_1152703058126527,2016-10-26 14:25:00,227577483972427,1122560844474082_1152692398127593,227577483972427_1122560844474082
1122560844474082_1154443587952474,2016-10-26 14:25:00,10207378585523652,1122560844474082_1152692398127593,227577483972427_1122560844474082
1122560844474082_1152055291524637,2016-10-26 14:25:00,227577483972427,1122560844474082_1151968638199969,227577483972427_1122560844474082
1122560844474082_1156916714371828,2016-10-26 14:25:00,1044213539010942,1122560844474082_1151968638199969,227577483972427_1122560844474082
1122560844474082_1156920094371490,2016-10-26 14:25:00,1442694982427209,1122560844474082_1151968638199969,227577483972427_1122560844474082
1122560844474082_1156891734374326,2016-10-26 14:25:00,227577483972427,1122560844474082_1155263837870449,227577483972427_1122560844474082
1122560844474082_1143226779074155,2016-10-26 14:25:00,227577483972427,1122560844474082_1142919182438248,227577483972427_1122560844474082
1122560844474082_1144903925573107,2016-10-26 14:25:00,599855143520377,1122560844474082_1142919182438248,227577483972427_1122560844474082
1122560844474082_1159255977471235,2016-10-26 14:25:00,10205745102706821,1122560844474082_1142919182438248,227577483972427_1122560844474082
1122560844474082_1163616480368518,2016-10-26 14:25:00,10209467232511927,1122560844474082_1142919182438248,227577483972427_1122560844474082
1122560844474082_1206759382720894,2016-10-26 14:25:00,227577483972427,1122560844474082_1206655402731292,227577483972427_1122560844474082
1122560844474082_1207581972638635,2016-10-26 14:25:00,10206718837041399,1122560844474082_1206655402731292,227577483972427_1122560844474082
1122560844474082_1196478420415657,2016-10-26 14:25:00,227577483972427,1122560844474082_1194790163917816,227577483972427_1122560844474082
1122560844474082_1163620007034832,2016-10-26 14:25:00,227577483972427,1122560844474082_1163618050368361,227577483972427_1122560844474082
1122560844474082_1163620147034818,2016-10-26 14:25:00,10209467232511927,1122560844474082_1163618050368361,227577483972427_1122560844474082
1122560844474082_1162429903820509,2016-10-26 14:25:00,227577483972427,1122560844474082_1161168627279970,227577483972427_1122560844474082
1122560844474082_1152703158126517,2016-10-26 14:25:00,227577483972427,1122560844474082_1152576891472477,227577483972427_1122560844474082
1122560844474082_1205344229529076,2016-10-26 14:25:00,227577483972427,1122560844474082_1205300199533479,227577483972427_1122560844474082
1122560844474082_1205352872861545,2016-10-26 14:25:00,10154768007078291,1122560844474082_1205300199533479,227577483972427_1122560844474082
1122560844474082_1152059144857585,2016-10-26 14:25:00,227577483972427,1122560844474082_1149808658415967,227577483972427_1122560844474082
1122560844474082_1152111511519015,2016-10-26 14:25:00,1044213539010942,1122560844474082_1149808658415967,227577483972427_1122560844474082
1122560844474082_1156910517705781,2016-10-26 14:25:00,1044213539010942,1122560844474082_1149808658415967,227577483972427_1122560844474082
1122560844474082_1174728752590624,2016-10-26 14:25:00,227577483972427,1122560844474082_1163187450411421,227577483972427_1122560844474082
1122560844474082_1161649297231903,2016-10-26 14:25:00,227577483972427,1122560844474082_1160145717382261,227577483972427_1122560844474082
1122560844474082_1161656010564565,2016-10-26 14:25:00,1372202472792622,1122560844474082_1160145717382261,227577483972427_1122560844474082
1122560844474082_1161790063884493,2016-10-26 14:25:00,1372202472792622,1122560844474082_1160145717382261,227577483972427_1122560844474082
1102308409832659_1112457285484438,2016-10-26 14:25:00,227577483972427,1102308409832659_1112131138850386,227577483972427_1102308409832659
1102308409832659_1126594554070711,2016-10-26 14:25:00,599855143520377,1102308409832659_1112131138850386,227577483972427_1102308409832659
1102308409832659_1126764694053697,2016-10-26 14:25:00,1220376344651269,1102308409832659_1112131138850386,227577483972427_1102308409832659
1102308409832659_1128426410554192,2016-10-26 14:25:00,10210165533962012,1102308409832659_1112131138850386,227577483972427_1102308409832659
1102308409832659_1129696683760498,2016-10-26 14:25:00,1220376344651269,1102308409832659_1112131138850386,227577483972427_1102308409832659
1102308409832659_1129697613760405,2016-10-26 14:25:00,1220376344651269,1102308409832659_1112131138850386,227577483972427_1102308409832659
1102308409832659_1147184665345033,2016-10-26 14:25:00,1331128480248828,1102308409832659_1112131138850386,227577483972427_1102308409832659
