ID_POST,Sentiment,Count,positive,negative,neutre
232821613450342_1012056468860182,neutre,1,0,1,0
232821613450342_1012559302143232,negative,0,0,1,1
232821613450342_1012559302143232,positive,1,0,1,1
232821613450342_1012559302143232,neutre,1,0,1,1
232821613450342_1013019845430511,negative,0,0,1,0
232821613450342_1013019845430511,positive,0,0,1,0
232821613450342_1013019845430511,neutre,1,0,1,0
232821613450342_1013036965428799,negative,1,1,3,1
232821613450342_1013036965428799,positive,1,1,3,1
232821613450342_1013036965428799,neutre,3,1,3,1
232821613450342_1013550592044103,negative,0,0,1,0
232821613450342_1013550592044103,positive,0,0,1,0
232821613450342_1013550592044103,neutre,1,0,1,0
232821613450342_1013715225360973,negative,0,0,3,0
232821613450342_1013715225360973,positive,0,0,3,0
232821613450342_1013715225360973,neutre,3,0,3,0
232821613450342_1016653635067132,negative,0,0,2,0
232821613450342_1016653635067132,positive,0,0,2,0
232821613450342_1016653635067132,neutre,2,0,2,0
232821613450342_1020317308034098,negative,0,0,1,1
232821613450342_1020317308034098,positive,1,0,1,1
232821613450342_1020317308034098,neutre,1,0,1,1
232821613450342_1021831964549299,negative,0,0,1,0
232821613450342_1021831964549299,positive,0,0,1,0
232821613450342_1021831964549299,neutre,1,0,1,0
232821613450342_1023610424371453,negative,0,0,1,1
232821613450342_1023610424371453,positive,1,0,1,1
232821613450342_1023610424371453,neutre,1,0,1,1
232821613450342_1033700030029159,negative,1,1,5,2
232821613450342_1033700030029159,positive,2,1,5,2
232821613450342_1033700030029159,neutre,5,1,5,2
232821613450342_1042623469136815,negative,2,2,2,3
232821613450342_1042623469136815,positive,3,2,2,3
232821613450342_1042623469136815,neutre,2,2,2,3
232821613450342_798370920228739,negative,1,1,0,1
232821613450342_798370920228739,positive,1,1,0,1
232821613450342_798370920228739,neutre,0,1,0,1
232821613450342_799501813448983,negative,0,0,1,0
232821613450342_799501813448983,positive,0,0,1,0
232821613450342_799501813448983,neutre,1,0,1,0
